#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Nov 03 23:50:40 EST 2019,9,9,Assignment4Suite,ContainsTest2+ EmptyTest2+ SizeTest0+ , ,ContainsTest0- ContainsTest1- EmptyTest0- EmptyTest1- FindMinMaxTest0- FindMinMaxTest1- FindMinMaxTest2- HeightTest- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest0- InsertTest1- InsertTest2- InsertTest3- InsertTest4- InsertTest5- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- RemoveTest7- SizeTest1- SizeTest2- SizeTest3- , ,
1,Mon Nov 04 18:20:31 EST 2019,54,45,Assignment4Suite,ContainsTest2 EmptyTest0+ EmptyTest1+ EmptyTest2 FindMinMaxTest0+ FindMinMaxTest2+ HeightTest+ InsertAfterRemoveTest0+ InsertTest5+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1+ SizeTest2+ SizeTest3+ , ,ContainsTest0 ContainsTest1 FindMinMaxTest1 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 , ,
2,Mon Nov 04 18:20:52 EST 2019,54,0,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest0 ContainsTest1 FindMinMaxTest1 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 , ,
3,Fri Nov 08 18:00:51 EST 2019,29,-25,Assignment4Suite,ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1+ InsertAfterRemoveTest0 RemoveTest0 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 EmptyTest1- FindMinMaxTest2- HeightTest- InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2- SizeTest3- , ,
4,Sat Nov 09 17:41:40 EST 2019,9,-20,Assignment4Suite,EmptyTest0 SizeTest0 SizeTest1 , ,ContainsTest0 ContainsTest1 ContainsTest2- EmptyTest1 EmptyTest2- FindMinMaxTest0- FindMinMaxTest1- FindMinMaxTest2 HeightTest InsertAfterRemoveTest0- InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0- RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 SizeTest3 , ,
5,Sat Nov 09 22:02:59 EST 2019,29,20,Assignment4Suite,ContainsTest0+ ContainsTest2+ EmptyTest0 HeightTest+ InsertTest0+ RemoveTest4+ RemoveTest7+ SizeTest0 SizeTest1 , ,ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest5 RemoveTest6 SizeTest2 SizeTest3 , ,
6,Mon Nov 11 00:58:07 EST 2019,22,-7,Assignment4Suite,ContainsTest2 EmptyTest0 HeightTest InsertTest0 RemoveTest7 SizeTest0 SizeTest1 , ,ContainsTest0- ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4- RemoveTest5 RemoveTest6 SizeTest2 SizeTest3 , ,
7,Mon Nov 11 03:12:23 EST 2019,51,29,Assignment4Suite,ContainsTest0+ ContainsTest1+ ContainsTest2 EmptyTest0 HeightTest InsertTest0 InsertTest1+ InsertTest2+ InsertTest3+ InsertTest5+ RemoveTest2+ RemoveTest4+ RemoveTest5+ RemoveTest7 SizeTest0 SizeTest1 , ,EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest4 RemoveTest0 RemoveTest1 RemoveTest3 RemoveTest6 SizeTest2 SizeTest3 , ,
8,Mon Nov 11 04:11:22 EST 2019,54,3,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4+ InsertTest5 RemoveTest2 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 , ,EmptyTest1 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest3 RemoveTest6 SizeTest2 SizeTest3 , ,
9,Mon Nov 11 04:48:15 EST 2019,77,23,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest1+ EmptyTest2+ FindMinMaxTest0+ FindMinMaxTest1+ HeightTest InsertAfterRemoveTest0+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0+ RemoveTest2 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest2+ , ,FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest1 RemoveTest3 RemoveTest6 SizeTest3 , ,
